CCODE SCODE YEAR XRREG XRCOMP XROPEN XCONST PARREG PARCOMP DEMOCRACY AUTOCRACY POLITY ORIGIN
2 USA 1849 3 3 4 7 5 5 10 0 10 0
2 USA 1850 3 3 4 7 2 4 9 0 9 0
2 USA 1851 3 3 4 7 2 4 9 0 9 0
2 USA 1852 3 3 4 7 2 4 9 0 9 0
2 USA 1853 3 3 4 7 2 4 9 0 9 0
2 USA 1854 3 3 4 7 2 3 8 0 8 0
2 USA 1855 3 3 4 7 2 3 8 0 8 0
2 USA 1856 3 3 4 7 2 3 8 0 8 0
2 USA 1857 3 3 4 7 2 3 8 0 8 0
2 USA 1858 3 3 4 7 2 3 8 0 8 0
2 USA 1859 3 3 4 7 2 3 8 0 8 0
2 USA 1860 3 3 4 7 2 3 8 0 8 0
2 USA 1861 3 3 4 7 2 3 8 0 8 0
2 USA 1862 3 3 4 7 2 3 8 0 8 0
2 USA 1863 3 3 4 7 2 3 8 0 8 0
2 USA 1864 3 3 4 7 2 3 8 0 8 0
2 USA 1865 3 3 4 7 3 4 9 1 8 0
2 USA 1866 3 3 4 7 3 4 9 1 8 0
2 USA 1867 3 3 4 7 3 4 9 1 8 0
2 USA 1868 3 3 4 7 3 4 9 1 8 0
2 USA 1869 3 3 4 7 3 4 9 1 8 0
2 USA 1870 3 3 4 7 3 4 9 1 8 0
2 USA 1871 3 3 4 7 5 5 10 0 10 0
2 USA 1872 3 3 4 7 5 5 10 0 10 0
2 USA 1873 3 3 4 7 5 5 10 0 10 0
2 USA 1874 3 3 4 7 5 5 10 0 10 0
2 USA 1875 3 3 4 7 5 5 10 0 10 0
2 USA 1876 3 3 4 7 5 5 10 0 10 0
2 USA 1877 3 3 4 7 5 5 10 0 10 0
2 USA 1878 3 3 4 7 5 5 10 0 10 0
2 USA 1879 3 3 4 7 5 5 10 0 10 0
2 USA 1880 3 3 4 7 5 5 10 0 10 0
2 USA 1881 3 3 4 7 5 5 10 0 10 0
2 USA 1882 3 3 4 7 5 5 10 0 10 0
2 USA 1883 3 3 4 7 5 5 10 0 10 0
2 USA 1884 3 3 4 7 5 5 10 0 10 0
2 USA 1885 3 3 4 7 5 5 10 0 10 0
2 USA 1886 3 3 4 7 5 5 10 0 10 0
2 USA 1887 3 3 4 7 5 5 10 0 10 0
2 USA 1888 3 3 4 7 5 5 10 0 10 0
2 USA 1889 3 3 4 7 5 5 10 0 10 0
2 USA 1890 3 3 4 7 5 5 10 0 10 0
2 USA 1891 3 3 4 7 5 5 10 0 10 0
2 USA 1892 3 3 4 7 5 5 10 0 10 0
2 USA 1893 3 3 4 7 5 5 10 0 10 0
2 USA 1894 3 3 4 7 5 5 10 0 10 0
2 USA 1895 3 3 4 7 5 5 10 0 10 0
2 USA 1896 3 3 4 7 5 5 10 0 10 0
2 USA 1897 3 3 4 7 5 5 10 0 10 0
2 USA 1898 3 3 4 7 5 5 10 0 10 0
2 USA 1899 3 3 4 7 5 5 10 0 10 0
2 USA 1900 3 3 4 7 5 5 10 0 10 0
2 USA 1901 3 3 4 7 5 5 10 0 10 0
2 USA 1902 3 3 4 7 5 5 10 0 10 0
2 USA 1903 3 3 4 7 5 5 10 0 10 0
2 USA 1904 3 3 4 7 5 5 10 0 10 0
2 USA 1905 3 3 4 7 5 5 10 0 10 0
2 USA 1906 3 3 4 7 5 5 10 0 10 0
2 USA 1907 3 3 4 7 5 5 10 0 10 0
2 USA 1908 3 3 4 7 5 5 10 0 10 0
2 USA 1909 3 3 4 7 5 5 10 0 10 0
2 USA 1910 3 3 4 7 5 5 10 0 10 0
2 USA 1911 3 3 4 7 5 5 10 0 10 0
2 USA 1912 3 3 4 7 5 5 10 0 10 0
2 USA 1913 3 3 4 7 5 5 10 0 10 0
2 USA 1914 3 3 4 7 5 5 10 0 10 0
2 USA 1915 3 3 4 7 5 5 10 0 10 0
2 USA 1916 3 3 4 7 5 5 10 0 10 0
2 USA 1917 3 3 4 7 5 5 10 0 10 0
2 USA 1918 3 3 4 7 5 5 10 0 10 0
2 USA 1919 3 3 4 7 5 5 10 0 10 0
2 USA 1920 3 3 4 7 5 5 10 0 10 0
2 USA 1921 3 3 4 7 5 5 10 0 10 0
2 USA 1922 3 3 4 7 5 5 10 0 10 0
2 USA 1923 3 3 4 7 5 5 10 0 10 0
2 USA 1924 3 3 4 7 5 5 10 0 10 0
2 USA 1925 3 3 4 7 5 5 10 0 10 0
2 USA 1926 3 3 4 7 5 5 10 0 10 0
2 USA 1927 3 3 4 7 5 5 10 0 10 0
2 USA 1928 3 3 4 7 5 5 10 0 10 0
2 USA 1929 3 3 4 7 5 5 10 0 10 0
2 USA 1930 3 3 4 7 5 5 10 0 10 0
2 USA 1931 3 3 4 7 5 5 10 0 10 0
2 USA 1932 3 3 4 7 5 5 10 0 10 0
2 USA 1933 3 3 4 7 5 5 10 0 10 0
2 USA 1934 3 3 4 7 5 5 10 0 10 0
2 USA 1935 3 3 4 7 5 5 10 0 10 0
2 USA 1936 3 3 4 7 5 5 10 0 10 0
2 USA 1937 3 3 4 7 5 5 10 0 10 0
2 USA 1938 3 3 4 7 5 5 10 0 10 0
2 USA 1939 3 3 4 7 5 5 10 0 10 0
2 USA 1940 3 3 4 7 5 5 10 0 10 0
2 USA 1941 3 3 4 7 5 5 10 0 10 0
2 USA 1942 3 3 4 7 5 5 10 0 10 0
2 USA 1943 3 3 4 7 5 5 10 0 10 0
2 USA 1944 3 3 4 7 5 5 10 0 10 0
2 USA 1945 3 3 4 7 5 5 10 0 10 0
2 USA 1946 3 3 4 7 5 5 10 0 10 0
2 USA 1947 3 3 4 7 5 5 10 0 10 0
2 USA 1948 3 3 4 7 5 5 10 0 10 0
2 USA 1949 3 3 4 7 5 5 10 0 10 0
2 USA 1950 3 3 4 7 5 5 10 0 10 0
2 USA 1951 3 3 4 7 5 5 10 0 10 0
2 USA 1952 3 3 4 7 5 5 10 0 10 0
2 USA 1953 3 3 4 7 5 5 10 0 10 0
2 USA 1954 3 3 4 7 5 5 10 0 10 0
2 USA 1955 3 3 4 7 5 5 10 0 10 0
2 USA 1956 3 3 4 7 5 5 10 0 10 0
2 USA 1957 3 3 4 7 5 5 10 0 10 0
2 USA 1958 3 3 4 7 5 5 10 0 10 0
2 USA 1959 3 3 4 7 5 5 10 0 10 0
2 USA 1960 3 3 4 7 5 5 10 0 10 0
2 USA 1961 3 3 4 7 5 5 10 0 10 0
2 USA 1962 3 3 4 7 5 5 10 0 10 0
2 USA 1963 3 3 4 7 5 5 10 0 10 0
2 USA 1964 3 3 4 7 5 5 10 0 10 0
2 USA 1965 3 3 4 7 5 5 10 0 10 0
2 USA 1966 3 3 4 7 5 5 10 0 10 0
2 USA 1967 3 3 4 7 5 5 10 0 10 0
2 USA 1968 3 3 4 7 5 5 10 0 10 0
2 USA 1969 3 3 4 7 5 5 10 0 10 0
2 USA 1970 3 3 4 7 5 5 10 0 10 0
2 USA 1971 3 3 4 7 5 5 10 0 10 0
2 USA 1972 3 3 4 7 5 5 10 0 10 0
2 USA 1973 3 3 4 7 5 5 10 0 10 0
2 USA 1974 3 3 4 7 5 5 10 0 10 0
2 USA 1975 3 3 4 7 5 5 10 0 10 0
2 USA 1976 3 3 4 7 5 5 10 0 10 0
2 USA 1977 3 3 4 7 5 5 10 0 10 0
2 USA 1978 3 3 4 7 5 5 10 0 10 0
2 USA 1979 3 3 4 7 5 5 10 0 10 0
2 USA 1980 3 3 4 7 5 5 10 0 10 0
2 USA 1981 3 3 4 7 5 5 10 0 10 0
2 USA 1982 3 3 4 7 5 5 10 0 10 0
2 USA 1983 3 3 4 7 5 5 10 0 10 0
2 USA 1984 3 3 4 7 5 5 10 0 10 0
2 USA 1985 3 3 4 7 5 5 10 0 10 0
2 USA 1986 3 3 4 7 5 5 10 0 10 0
2 USA 1987 3 3 4 7 5 5 10 0 10 0
2 USA 1988 3 3 4 7 5 5 10 0 10 0
2 USA 1989 3 3 4 7 5 5 10 0 10 0
2 USA 1990 3 3 4 7 5 5 10 0 10 0
2 USA 1991 3 3 4 7 5 5 10 0 10 0
2 USA 1992 3 3 4 7 5 5 10 0 10 0
2 USA 1993 3 3 4 7 5 5 10 0 10 0
2 USA 1994 3 3 4 7 5 5 10 0 10 0
2 USA 1995 3 3 4 7 5 5 10 0 10 0
2 USA 1996 3 3 4 7 5 5 10 0 10 0
2 USA 1997 3 3 4 7 5 5 10 0 10 0
2 USA 1998 3 3 4 7 5 5 10 0 10 0
2 USA 1999 3 3 4 7 5 5 10 0 10 0
2 USA 2000 3 3 4 7 5 5 10 0 10 0
2 USA 2001 3 3 4 7 5 5 10 0 10 0
2 USA 2002 3 3 4 7 5 5 10 0 10 0
2 USA 2003 3 3 4 7 5 5 10 0 10 0
2 USA 2004 3 3 4 7 5 5 10 0 10 0
2 USA 2005 3 3 4 7 5 5 10 0 10 0
2 USA 2006 3 3 4 7 5 5 10 0 10 0
2 USA 2007 3 3 4 7 5 5 10 0 10 0
20 CAN 1867 3 3 4 7 4 2 7 3 4 0
20 CAN 1868 3 3 4 7 4 2 7 3 4 0
20 CAN 1869 3 3 4 7 4 2 7 3 4 0
20 CAN 1870 3 3 4 7 4 2 7 3 4 0
20 CAN 1871 3 3 4 7 4 2 7 3 4 0
20 CAN 1872 3 3 4 7 4 2 7 3 4 0
20 CAN 1873 3 3 4 7 4 2 7 3 4 0
20 CAN 1874 3 3 4 7 4 2 7 3 4 0
20 CAN 1875 3 3 4 7 4 2 7 3 4 0
20 CAN 1876 3 3 4 7 4 2 7 3 4 0
20 CAN 1877 3 3 4 7 4 2 7 3 4 0
20 CAN 1878 3 3 4 7 4 2 7 3 4 0
20 CAN 1879 3 3 4 7 4 2 7 3 4 0
20 CAN 1880 3 3 4 7 4 2 7 3 4 0
20 CAN 1881 3 3 4 7 4 2 7 3 4 0
20 CAN 1882 3 3 4 7 4 2 7 3 4 0
20 CAN 1883 3 3 4 7 4 2 7 3 4 0
20 CAN 1884 3 3 4 7 4 2 7 3 4 0
20 CAN 1885 3 3 4 7 4 2 7 3 4 0
20 CAN 1886 3 3 4 7 4 2 7 3 4 0
20 CAN 1887 3 3 4 7 4 2 7 3 4 0
20 CAN 1888 3 3 4 7 5 4 9 0 9 0
20 CAN 1889 3 3 4 7 5 4 9 0 9 0
20 CAN 1890 3 3 4 7 5 4 9 0 9 0
20 CAN 1891 3 3 4 7 5 4 9 0 9 0
20 CAN 1892 3 3 4 7 5 4 9 0 9 0
20 CAN 1893 3 3 4 7 5 4 9 0 9 0
20 CAN 1894 3 3 4 7 5 4 9 0 9 0
20 CAN 1895 3 3 4 7 5 4 9 0 9 0
20 CAN 1896 3 3 4 7 5 4 9 0 9 0
20 CAN 1897 3 3 4 7 5 4 9 0 9 0
20 CAN 1898 3 3 4 7 5 4 9 0 9 0
20 CAN 1899 3 3 4 7 5 4 9 0 9 0
20 CAN 1900 3 3 4 7 5 4 9 0 9 0
20 CAN 1901 3 3 4 7 5 4 9 0 9 0
20 CAN 1902 3 3 4 7 5 4 9 0 9 0
20 CAN 1903 3 3 4 7 5 4 9 0 9 0
20 CAN 1904 3 3 4 7 5 4 9 0 9 0
20 CAN 1905 3 3 4 7 5 4 9 0 9 0
20 CAN 1906 3 3 4 7 5 4 9 0 9 0
20 CAN 1907 3 3 4 7 5 4 9 0 9 0
20 CAN 1908 3 3 4 7 5 4 9 0 9 0
20 CAN 1909 3 3 4 7 5 4 9 0 9 0
20 CAN 1910 3 3 4 7 5 4 9 0 9 0
20 CAN 1911 3 3 4 7 5 4 9 0 9 0
20 CAN 1912 3 3 4 7 5 4 9 0 9 0
20 CAN 1913 3 3 4 7 5 4 9 0 9 0
20 CAN 1914 3 3 4 7 5 4 9 0 9 0
20 CAN 1915 3 3 4 7 5 4 9 0 9 0
20 CAN 1916 3 3 4 7 5 4 9 0 9 0
20 CAN 1917 3 3 4 7 5 4 9 0 9 0
20 CAN 1918 3 3 4 7 5 4 9 0 9 0
20 CAN 1919 3 3 4 7 5 4 9 0 9 0
20 CAN 1920 3 3 4 7 5 4 9 0 9 0
20 CAN 1921 3 3 4 7 5 5 10 0 10 0
20 CAN 1922 3 3 4 7 5 5 10 0 10 0
20 CAN 1923 3 3 4 7 5 5 10 0 10 0
20 CAN 1924 3 3 4 7 5 5 10 0 10 0
20 CAN 1925 3 3 4 7 5 5 10 0 10 0
20 CAN 1926 3 3 4 7 5 5 10 0 10 0
20 CAN 1927 3 3 4 7 5 5 10 0 10 0
20 CAN 1928 3 3 4 7 5 5 10 0 10 0
20 CAN 1929 3 3 4 7 5 5 10 0 10 0
20 CAN 1930 3 3 4 7 5 5 10 0 10 0
20 CAN 1931 3 3 4 7 5 5 10 0 10 0
20 CAN 1932 3 3 4 7 5 5 10 0 10 0
20 CAN 1933 3 3 4 7 5 5 10 0 10 0
20 CAN 1934 3 3 4 7 5 5 10 0 10 0
20 CAN 1935 3 3 4 7 5 5 10 0 10 0
20 CAN 1936 3 3 4 7 5 5 10 0 10 0
20 CAN 1937 3 3 4 7 5 5 10 0 10 0
20 CAN 1938 3 3 4 7 5 5 10 0 10 0
20 CAN 1939 3 3 4 7 5 5 10 0 10 0
20 CAN 1940 3 3 4 7 5 5 10 0 10 0
20 CAN 1941 3 3 4 7 5 5 10 0 10 0
20 CAN 1942 3 3 4 7 5 5 10 0 10 0
20 CAN 1943 3 3 4 7 5 5 10 0 10 0
20 CAN 1944 3 3 4 7 5 5 10 0 10 0
20 CAN 1945 3 3 4 7 5 5 10 0 10 0
20 CAN 1946 3 3 4 7 5 5 10 0 10 0
20 CAN 1947 3 3 4 7 5 5 10 0 10 0
20 CAN 1948 3 3 4 7 5 5 10 0 10 0
20 CAN 1949 3 3 4 7 5 5 10 0 10 0
20 CAN 1950 3 3 4 7 5 5 10 0 10 0
20 CAN 1951 3 3 4 7 5 5 10 0 10 0
20 CAN 1952 3 3 4 7 5 5 10 0 10 0
20 CAN 1953 3 3 4 7 5 5 10 0 10 0
20 CAN 1954 3 3 4 7 5 5 10 0 10 0
20 CAN 1955 3 3 4 7 5 5 10 0 10 0
20 CAN 1956 3 3 4 7 5 5 10 0 10 0
20 CAN 1957 3 3 4 7 5 5 10 0 10 0
20 CAN 1958 3 3 4 7 5 5 10 0 10 0
20 CAN 1959 3 3 4 7 5 5 10 0 10 0
20 CAN 1960 3 3 4 7 5 5 10 0 10 0
20 CAN 1961 3 3 4 7 5 5 10 0 10 0
20 CAN 1962 3 3 4 7 5 5 10 0 10 0
20 CAN 1963 3 3 4 7 5 5 10 0 10 0
20 CAN 1964 3 3 4 7 5 5 10 0 10 0
20 CAN 1965 3 3 4 7 5 5 10 0 10 0
20 CAN 1966 3 3 4 7 5 5 10 0 10 0
20 CAN 1967 3 3 4 7 5 5 10 0 10 0
20 CAN 1968 3 3 4 7 5 5 10 0 10 0
20 CAN 1969 3 3 4 7 5 5 10 0 10 0
20 CAN 1970 3 3 4 7 5 5 10 0 10 0
20 CAN 1971 3 3 4 7 5 5 10 0 10 0
20 CAN 1972 3 3 4 7 5 5 10 0 10 0
20 CAN 1973 3 3 4 7 5 5 10 0 10 0
20 CAN 1974 3 3 4 7 5 5 10 0 10 0
20 CAN 1975 3 3 4 7 5 5 10 0 10 0
20 CAN 1976 3 3 4 7 5 5 10 0 10 0
20 CAN 1977 3 3 4 7 5 5 10 0 10 0
20 CAN 1978 3 3 4 7 5 5 10 0 10 0
20 CAN 1979 3 3 4 7 5 5 10 0 10 0
20 CAN 1980 3 3 4 7 5 5 10 0 10 0
20 CAN 1981 3 3 4 7 5 5 10 0 10 0
20 CAN 1982 3 3 4 7 5 5 10 0 10 0
20 CAN 1983 3 3 4 7 5 5 10 0 10 0
20 CAN 1984 3 3 4 7 5 5 10 0 10 0
20 CAN 1985 3 3 4 7 5 5 10 0 10 0
20 CAN 1986 3 3 4 7 5 5 10 0 10 0
20 CAN 1987 3 3 4 7 5 5 10 0 10 0
20 CAN 1988 3 3 4 7 5 5 10 0 10 0
20 CAN 1989 3 3 4 7 5 5 10 0 10 0
20 CAN 1990 3 3 4 7 5 5 10 0 10 0
20 CAN 1991 3 3 4 7 5 5 10 0 10 0
20 CAN 1992 3 3 4 7 5 5 10 0 10 0
20 CAN 1993 3 3 4 7 5 5 10 0 10 0
20 CAN 1994 3 3 4 7 5 5 10 0 10 0
20 CAN 1995 3 3 4 7 5 5 10 0 10 0
20 CAN 1996 3 3 4 7 5 5 10 0 10 0
20 CAN 1997 3 3 4 7 5 5 10 0 10 0
20 CAN 1998 3 3 4 7 5 5 10 0 10 0
20 CAN 1999 3 3 4 7 5 5 10 0 10 0
20 CAN 2000 3 3 4 7 5 5 10 0 10 0
20 CAN 2001 3 3 4 7 5 5 10 0 10 0
20 CAN 2002 3 3 4 7 5 5 10 0 10 0
20 CAN 2003 3 3 4 7 5 5 10 0 10 0
20 CAN 2004 3 3 4 7 5 5 10 0 10 0
20 CAN 2005 3 3 4 7 5 5 10 0 10 0
20 CAN 2006 3 3 4 7 5 5 10 0 10 0
20 CAN 2007 3 3 4 7 5 5 10 0 10 0
31 BHM 1973 . . . . . . . . 10 3
31 BHM 1974 . . . . . . . . 10 2
31 BHM 1975 . . . . . . . . 10 2
31 BHM 1976 . . . . . . . . 10 2
31 BHM 1977 . . . . . . . . 10 2
31 BHM 1978 . . . . . . . . 10 2
31 BHM 1979 . . . . . . . . 10 2
31 BHM 1980 . . . . . . . . 10 2
31 BHM 1981 . . . . . . . . 10 2
31 BHM 1982 . . . . . . . . 7 2
31 BHM 1983 . . . . . . . . 7 2
31 BHM 1984 . . . . . . . . 7 2
31 BHM 1985 . . . . . . . . 7 2
31 BHM 1986 . . . . . . . . 7 2
31 BHM 1987 . . . . . . . . 7 2
31 BHM 1988 . . . . . . . . 7 2
31 BHM 1989 . . . . . . . . 7 2
31 BHM 1990 . . . . . . . . 7 2
31 BHM 1991 . . . . . . . . 7 2
31 BHM 1992 . . . . . . . . 10 2
31 BHM 1993 . . . . . . . . 10 2
31 BHM 1994 . . . . . . . . 10 2
31 BHM 1995 . . . . . . . . 10 2
31 BHM 1996 . . . . . . . . 10 2
31 BHM 1997 . . . . . . . . 10 2
31 BHM 1998 . . . . . . . . 10 2
31 BHM 1999 . . . . . . . . 10 2
31 BHM 2000 . . . . . . . . 10 2
31 BHM 2001 . . . . . . . . 10 2
31 BHM 2002 . . . . . . . . 10 2
31 BHM 2003 . . . . . . . . 10 2
31 BHM 2004 . . . . . . . . 10 2
31 BHM 2005 . . . . . . . . 10 2
31 BHM 2006 . . . . . . . . 10 2
31 BHM 2007 . . . . . . . . 10 2
40 CUB 1902 3 3 4 3 2 3 4 1 3 0
40 CUB 1903 3 3 4 3 2 3 4 1 3 0
40 CUB 1904 3 3 4 3 2 3 4 1 3 0
40 CUB 1905 3 3 4 3 2 3 4 1 3 0
40 CUB 1906 3 3 4 3 2 3 4 1 3 0
40 CUB 1907 3 3 4 3 2 3 4 1 3 0
40 CUB 1908 3 3 4 3 2 3 4 1 3 0
40 CUB 1909 3 3 4 3 2 3 4 1 3 0
40 CUB 1910 3 3 4 3 2 3 4 1 3 0
40 CUB 1911 3 3 4 3 2 3 4 1 3 0
40 CUB 1912 3 3 4 3 2 3 4 1 3 0
40 CUB 1913 3 3 4 3 2 3 4 1 3 0
40 CUB 1914 3 3 4 3 2 3 4 1 3 0
40 CUB 1915 3 3 4 3 2 3 4 1 3 0
40 CUB 1916 3 3 4 3 2 3 4 1 3 0
40 CUB 1917 3 3 4 3 2 3 4 1 3 0
40 CUB 1918 3 3 4 3 2 3 4 1 3 0
40 CUB 1919 3 3 4 3 2 3 4 1 3 0
40 CUB 1920 3 3 4 3 2 3 4 1 3 0
40 CUB 1921 3 3 4 3 2 3 4 1 3 0
40 CUB 1922 3 3 4 3 2 3 4 1 3 0
40 CUB 1923 3 3 4 3 2 3 4 1 3 0
40 CUB 1924 3 3 4 3 2 3 4 1 3 0
40 CUB 1925 3 3 4 3 2 3 4 1 3 0
40 CUB 1926 3 3 4 3 2 3 4 1 3 0
40 CUB 1927 3 3 4 3 2 3 4 1 3 0
40 CUB 1928 3 3 4 1 2 3 4 3 1 0
40 CUB 1929 3 3 4 1 2 3 4 3 1 0
40 CUB 1930 3 3 4 1 2 3 4 3 1 0
40 CUB 1931 3 3 4 1 2 3 4 3 1 0
40 CUB 1932 3 3 4 1 2 3 4 3 1 0
40 CUB 1933 3 3 4 3 2 3 4 1 3 0
40 CUB 1934 3 3 4 3 2 3 4 1 3 0
40 CUB 1935 3 3 4 3 2 3 4 1 3 0
40 CUB 1936 3 3 4 3 2 3 4 1 3 0
40 CUB 1937 3 3 4 3 2 3 4 1 3 0
40 CUB 1938 3 3 4 3 2 3 4 1 3 0
40 CUB 1939 3 3 4 3 2 3 4 1 3 0
40 CUB 1940 3 3 4 3 2 3 4 1 3 0
40 CUB 1941 3 3 4 3 2 3 4 1 3 0
40 CUB 1942 3 3 4 3 2 3 4 1 3 0
40 CUB 1943 3 3 4 3 2 3 4 1 3 0
40 CUB 1944 3 3 4 3 2 3 4 1 3 0
40 CUB 1945 3 3 4 3 2 3 4 1 3 0
40 CUB 1946 3 3 4 3 2 3 4 1 3 0
40 CUB 1947 3 3 4 3 2 3 4 1 3 0
40 CUB 1948 3 3 4 3 2 3 4 1 3 0
40 CUB 1949 3 3 4 3 2 3 4 1 3 0
40 CUB 1950 3 3 4 3 2 3 4 1 3 0
40 CUB 1951 3 3 4 3 2 3 4 1 3 0
40 CUB 1952 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
40 CUB 1953 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
40 CUB 1954 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
40 CUB 1955 2 1 4 1 4 1 0 9 -9 0
40 CUB 1956 2 1 4 1 4 1 0 9 -9 0
40 CUB 1957 2 1 4 1 4 1 0 9 -9 0
40 CUB 1958 2 1 4 1 4 1 0 9 -9 0
40 CUB 1959 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
40 CUB 1960 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
40 CUB 1961 1 0 0 1 4 1 0 7 -7 0
40 CUB 1962 1 0 0 1 4 1 0 7 -7 0
40 CUB 1963 1 0 0 1 4 1 0 7 -7 0
40 CUB 1964 1 0 0 1 4 1 0 7 -7 0
40 CUB 1965 1 0 0 1 4 1 0 7 -7 0
40 CUB 1966 1 0 0 1 4 1 0 7 -7 0
40 CUB 1967 1 0 0 1 4 1 0 7 -7 0
40 CUB 1968 1 0 0 1 4 1 0 7 -7 0
40 CUB 1969 1 0 0 1 4 1 0 7 -7 0
40 CUB 1970 1 0 0 1 4 1 0 7 -7 0
40 CUB 1971 1 0 0 1 4 1 0 7 -7 0
40 CUB 1972 1 0 0 1 4 1 0 7 -7 0
40 CUB 1973 1 0 0 1 4 1 0 7 -7 0
40 CUB 1974 1 0 0 1 4 1 0 7 -7 0
40 CUB 1975 1 0 0 1 4 1 0 7 -7 0
40 CUB 1976 1 0 0 1 4 1 0 7 -7 0
40 CUB 1977 2 0 0 1 4 1 0 7 -7 0
40 CUB 1978 2 0 0 1 4 1 0 7 -7 0
40 CUB 1979 2 0 0 1 4 1 0 7 -7 0
40 CUB 1980 2 0 0 1 4 1 0 7 -7 0
40 CUB 1981 2 0 0 1 4 1 0 7 -7 0
40 CUB 1982 2 0 0 1 4 1 0 7 -7 0
40 CUB 1983 2 0 0 1 4 1 0 7 -7 0
40 CUB 1984 2 0 0 1 4 1 0 7 -7 0
40 CUB 1985 2 0 0 1 4 1 0 7 -7 0
40 CUB 1986 2 0 0 1 4 1 0 7 -7 0
40 CUB 1987 2 0 0 1 4 1 0 7 -7 0
40 CUB 1988 2 0 0 1 4 1 0 7 -7 0
40 CUB 1989 2 0 0 1 4 1 0 7 -7 0
40 CUB 1990 2 0 0 1 4 1 0 7 -7 0
40 CUB 1991 2 0 0 1 4 1 0 7 -7 0
40 CUB 1992 2 0 0 1 4 1 0 7 -7 0
40 CUB 1993 2 0 0 1 4 1 0 7 -7 0
40 CUB 1994 2 0 0 1 4 1 0 7 -7 0
40 CUB 1995 2 0 0 1 4 1 0 7 -7 0
40 CUB 1996 2 0 0 1 4 1 0 7 -7 0
40 CUB 1997 2 0 0 1 4 1 0 7 -7 0
40 CUB 1998 2 0 0 1 4 1 0 7 -7 0
40 CUB 1999 2 0 0 1 4 1 0 7 -7 0
40 CUB 2000 2 0 0 1 4 1 0 7 -7 0
40 CUB 2001 2 0 0 1 4 1 0 7 -7 0
40 CUB 2002 2 0 0 1 4 1 0 7 -7 0
40 CUB 2003 2 0 0 1 4 1 0 7 -7 0
40 CUB 2004 2 0 0 1 4 1 0 7 -7 0
40 CUB 2005 2 0 0 1 4 1 0 7 -7 0
40 CUB 2006 2 1 4 3 4 1 0 7 -7 0
40 CUB 2007 2 1 4 3 4 1 0 7 -7 0
41 HAI 1816 1 0 0 1 1 0 0 3 -3 3
41 HAI 1817 1 0 0 1 1 0 0 3 -3 3
41 HAI 1818 1 0 0 1 1 0 0 3 -3 3
41 HAI 1819 1 0 0 1 1 0 0 3 -3 3
41 HAI 1820 1 0 0 1 1 0 0 3 -3 0
41 HAI 1821 1 0 0 1 1 0 0 3 -3 0
41 HAI 1822 1 0 0 1 1 0 0 3 -3 0
41 HAI 1823 1 0 0 1 1 0 0 3 -3 0
41 HAI 1824 1 0 0 1 1 0 0 3 -3 0
41 HAI 1825 1 0 0 1 1 0 0 3 -3 0
41 HAI 1826 1 0 0 1 1 0 0 3 -3 0
41 HAI 1827 1 0 0 1 1 0 0 3 -3 0
41 HAI 1828 1 0 0 1 1 0 0 3 -3 0
41 HAI 1829 1 0 0 1 1 0 0 3 -3 0
41 HAI 1830 1 0 0 1 1 0 0 3 -3 0
