CCODE SCODE STARTDATE STARTYEAR ENDDATE ENDYEAR XRREG XRCOMP XROPEN XCONST PARREG PARCOMP DEMOCRACY AUTOCRACY POLITY ORIGIN
41 HAI 1/1/1816 1816 4/7/1915 1915 1 0 0 1 1 0 0 3 -3 4
41 HAI 15/08/1934 1934 11/1/1946 1946 3 3 4 1 1 0 3 3 0 4
41 HAI 12/1/1946 1946 10/5/1950 1950 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
41 HAI 11/5/1950 1950 30/6/1951 1951 2 1 4 1 1 0 0 5 -5 0
41 HAI 1/7/1951 1951 30/6/1958 1958 2 1 4 1 2 0 0 5 -5 0
41 HAI 1/7/1958 1958 15/12/1961 1961 2 1 4 1 4 2 0 8 -8 0
41 HAI 16/12/1961 1961 21/4/1971 1971 2 1 4 1 4 1 0 9 -9 0
41 HAI 22/4/1971 1971 28/5/1977 1977 3 1 1 1 4 1 0 10 -10 0
41 HAI 29/5/1977 1977 7/2/1986 1986 3 1 1 1 4 2 0 9 -9 0
41 HAI 8/2/1986 1986 20/6/1988 1988 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
41 HAI 21/6/1988 1988 1/7/1989 1989 1 0 0 1 4 1 0 7 -7 0
41 HAI 2/7/1989 1989 15/12/1990 1990 1 0 0 1 4 2 0 6 -6 0
41 HAI 16/12/1990 1990 30/9/1991 1991 3 3 4 6 2 3 7 0 7 0
41 HAI 1/10/1991 1991 15/10/1994 1994 1 0 0 1 4 1 0 7 -7 0
41 HAI 16/10/1994 1994 31/12/1995 1995 3 3 4 6 2 3 7 0 7 0
41 HAI 1/1/1996 1996 10/1/1999 1999 2 2 4 7 2 3 7 0 7 0
41 HAI 11/1/1999 1999 25/11/2000 2000 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
41 HAI 26/11/2000 2000 8/3/2004 2004 2 1 4 3 2 3 1 3 -2 0
41 HAI 9/3/2004 2004 13/5/2006 2006 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
41 HAI 14/5/2006 2006 31/12/2007 2007 2 2 4 5 2 0 4 0 4 0
42 DOM 27/2/1844 1844 18/3/1861 1861 2 1 4 3 3 3 1 4 -3 0
42 DOM 19/3/1861 1861 1/5/1865 1865 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
42 DOM 2/5/1865 1865 26/6/1914 1914 2 1 4 3 3 3 1 4 -3 0
42 DOM 27/6/1914 1914 31/12/1924 1924 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
42 DOM 1/1/1925 1925 23/2/1930 1930 2 1 4 3 3 3 1 4 -3 0
42 DOM 24/2/1930 1930 2/12/1932 1932 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
42 DOM 3/12/1932 1932 30/5/1961 1961 2 1 4 1 4 1 0 9 -9 0
42 DOM 31/5/1961 1961 19/12/1962 1962 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
42 DOM 20/12/1962 1962 25/9/1963 1963 3 3 4 7 2 3 8 0 8 0
42 DOM 26/9/1963 1963 1/6/1966 1966 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
42 DOM 2/6/1966 1966 16/8/1978 1978 2 1 4 3 3 3 1 4 -3 0
42 DOM 17/8/1978 1978 14/8/1994 1994 3 3 4 5 2 3 6 0 6 0
42 DOM 15/8/1994 1994 16/8/1996 1996 2 2 4 5 2 3 5 0 5 0
42 DOM 17/8/1996 1996 31/12/2007 2007 3 3 4 6 2 4 8 0 8 0
51 JAM 6/8/1962 1962 14/4/1993 1993 3 3 4 7 5 5 10 0 10 1
51 JAM 15/4/1993 1993 31/12/2007 2007 3 3 4 7 2 4 9 0 9 0
52 TRI 31/8/1962 1962 26/11/1984 1984 3 3 4 7 2 3 8 0 8 0
52 TRI 27/11/1984 1984 18/3/1997 1997 3 3 4 7 2 4 9 0 9 0
52 TRI 19/3/1997 1997 31/12/2007 2007 3 3 4 7 5 5 10 0 10 0
53 BAR 30/11/1966 1966 31/12/2007 2007 . . . . . . . . 10 8
70 MEX 01/07/1821 1821 24/4/1834 1834 1 0 0 3 3 3 1 2 -1 4
70 MEX 25/4/1834 1834 15/12/1835 1835 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
70 MEX 16/12/1835 1835 18/8/1846 1846 1 0 0 1 3 3 1 4 -3 0
70 MEX 19/8/1846 1846 2/2/1848 1848 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
70 MEX 3/2/1848 1848 7/6/1863 1863 1 0 0 1 3 3 1 4 -3 0
70 MEX 8/6/1863 1863 10/4/1864 1864 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
70 MEX 11/4/1864 1864 14/5/1867 1867 1 0 0 1 3 3 1 4 -3 0
70 MEX 15/5/1867 1867 20/11/1876 1876 2 1 4 1 3 3 1 6 -5 0
70 MEX 21/11/1876 1876 30/11/1880 1880 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
70 MEX 1/12/1880 1880 25/5/1911 1911 2 1 4 1 4 1 0 9 -9 0
70 MEX 26/5/1911 1911 31/1/1917 1917 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
70 MEX 1/2/1917 1917 31/12/1919 1919 1 0 0 3 3 3 1 2 -1 0
70 MEX 1/1/1920 1920 30/6/1924 1924 2 0 0 3 3 3 1 2 -1 0
70 MEX 1/7/1924 1924 30/6/1930 1930 2 1 4 3 3 3 1 4 -3 0
70 MEX 1/7/1930 1930 1/9/1977 1977 2 1 4 3 4 2 0 6 -6 0
70 MEX 2/9/1977 1977 13/7/1988 1988 2 1 4 3 3 3 1 4 -3 0
70 MEX 14/7/1988 1988 15/8/1994 1994 2 1 4 4 2 3 2 2 0 0
70 MEX 16/8/1994 1994 5/7/1997 1997 2 2 4 4 2 3 4 0 4 0
70 MEX 6/7/1997 1997 31/12/1998 1998 2 2 4 5 2 4 6 0 6 0
70 MEX 1/1/1999 1999 30/11/2000 2000 2 2 4 6 2 3 6 0 6 0
70 MEX 1/12/2000 2000 31/12/2007 2007 3 3 4 6 2 4 8 0 8 0
80 BLZ 21/9/1981 1981 30/6/1983 1983 . . . . . . . . 10 7
80 BLZ 1/7/1983 1983 30/6/1984 1984 . . . . . . . . 8 7
80 BLZ 1/7/1984 1984 31/12/2007 2007 . . . . . . . . 10 7
89 UPC 1/7/1823 1823 31/12/1839 1839 2 1 4 7 3 3 5 3 2 6
90 GUA 1/1/1840 1840 22/10/1850 1850 1 0 0 1 3 3 1 4 -3 1
90 GUA 23/10/1850 1850 30/4/1854 1854 1 0 0 3 3 3 1 2 -1 0
90 GUA 1/5/1854 1854 20/6/1871 1871 1 0 0 1 3 3 1 4 -3 0
90 GUA 21/6/1871 1871 29/3/1873 1873 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
90 GUA 30/3/1873 1873 23/10/1876 1876 1 0 0 3 3 3 1 2 -1 0
90 GUA 24/10/1876 1876 15/3/1879 1879 2 1 4 1 3 3 1 6 -5 0
90 GUA 16/3/1879 1879 11/12/1879 1879 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
90 GUA 12/12/1879 1879 30/6/1896 1896 3 3 4 3 3 3 4 2 2 0
90 GUA 1/7/1896 1896 2/10/1898 1898 1 0 0 1 3 3 1 4 -3 0
90 GUA 3/10/1898 1898 30/6/1900 1900 3 3 4 3 3 3 4 2 2 0
90 GUA 1/7/1900 1900 5/12/1921 1921 2 1 4 1 4 1 0 9 -9 0
90 GUA 6/12/1921 1921 15/3/1931 1931 3 3 4 3 3 3 4 2 2 0
90 GUA 16/3/1931 1931 19/12/1944 1944 2 1 4 1 4 1 0 9 -9 0
90 GUA 20/12/1944 1944 10/12/1950 1950 3 3 4 3 5 5 6 1 5 0
90 GUA 11/12/1950 1950 27/6/1954 1954 3 3 4 3 3 3 4 2 2 0
90 GUA 28/6/1954 1954 19/1/1958 1958 1 0 0 1 4 2 0 6 -6 0
90 GUA 20/1/1958 1958 30/3/1963 1963 2 1 4 3 3 2 0 5 -5 0
90 GUA 31/3/1963 1963 6/3/1966 1966 1 0 0 1 3 2 0 5 -5 0
90 GUA 7/3/1966 1966 1/3/1970 1970 3 3 4 3 2 3 4 1 3 0
90 GUA 2/3/1970 1970 3/3/1974 1974 2 2 4 3 3 3 3 2 1 0
90 GUA 4/3/1974 1974 5/3/1978 1978 2 1 4 3 3 3 1 4 -3 0
90 GUA 6/3/1978 1978 23/3/1982 1982 2 1 4 3 3 2 0 5 -5 0
90 GUA 24/3/1982 1982 1/7/1984 1984 1 0 0 1 4 1 0 7 -7 0
90 GUA 2/7/1984 1984 31/5/1985 1985 1 0 0 1 4 2 0 6 -6 0
90 GUA 1/6/1985 1985 14/1/1986 1986 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
90 GUA 15/1/1986 1986 15/1/1996 1996 3 3 4 3 2 3 4 1 3 0
90 GUA 16/1/1996 1996 31/12/2007 2007 3 3 4 6 2 4 8 0 8 0
91 HON 1/1/1840 1840 4/2/1848 1848 2 1 4 3 3 3 1 4 -3 1
91 HON 5/2/1848 1848 31/10/1852 1852 2 1 4 5 3 3 3 3 0 0
91 HON 1/11/1852 1852 28/4/1854 1854 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
91 HON 29/4/1854 1854 15/2/1864 1864 2 1 4 5 3 3 3 3 0 0
91 HON 16/2/1864 1864 14/10/1894 1894 2 1 4 3 3 3 1 4 -3 0
91 HON 15/10/1894 1894 8/2/1904 1904 3 3 4 5 3 3 6 1 5 0
91 HON 9/2/1904 1904 25/3/1907 1907 3 3 4 1 3 3 4 4 0 0
91 HON 26/3/1907 1907 1/9/1908 1908 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
91 HON 2/9/1908 1908 9/1/1912 1912 3 3 4 5 3 3 6 1 5 0
91 HON 10/1/1912 1912 21/3/1913 1913 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
91 HON 22/3/1913 1913 9/9/1919 1919 3 3 4 5 3 3 6 1 5 0
91 HON 10/9/1919 1919 30/6/1920 1920 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
91 HON 1/7/1920 1920 8/6/1924 1924 3 3 4 5 3 3 6 1 5 0
91 HON 9/6/1924 1924 7/7/1925 1925 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
91 HON 8/7/1925 1925 15/4/1936 1936 3 3 4 5 3 3 6 1 5 0
91 HON 16/4/1936 1936 21/10/1956 1956 2 1 4 3 3 3 1 4 -3 0
91 HON 22/10/1956 1956 28/3/1971 1971 1 0 0 3 3 3 1 2 -1 0
91 HON 29/3/1971 1971 4/12/1972 1972 2 0 0 3 2 3 1 1 0 0
91 HON 5/12/1972 1972 25/7/1980 1980 1 0 0 3 3 3 1 2 -1 0
91 HON 26/7/1980 1980 27/1/1982 1982 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
91 HON 28/1/1982 1982 24/11/1985 1985 2 2 4 6 2 3 6 0 6 0
91 HON 25/11/1985 1985 26/11/1989 1989 2 2 4 5 2 3 5 0 5 0
91 HON 27/11/1989 1989 26/1/1999 1999 2 2 4 5 2 4 6 0 6 0
91 HON 27/1/1999 1999 31/12/2007 2007 3 3 4 5 2 4 7 0 7 0
92 SAL 1/1/1840 1840 30/6/1855 1855 1 0 0 3 3 3 1 2 -1 1
92 SAL 1/7/1855 1855 30/6/1858 1858 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
92 SAL 1/7/1858 1858 30/6/1903 1903 1 0 0 3 3 3 1 2 -1 0
92 SAL 1/7/1903 1903 2/12/1931 1931 2 1 4 3 4 2 0 6 -6 0
92 SAL 3/12/1931 1931 30/6/1944 1944 2 1 4 1 4 1 0 9 -9 0
92 SAL 1/7/1944 1944 14/12/1948 1948 2 1 4 1 4 2 0 8 -8 0
92 SAL 15/12/1948 1948 26/3/1950 1950 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
92 SAL 27/3/1950 1950 4/3/1956 1956 2 1 4 3 4 2 0 6 -6 0
92 SAL 5/3/1956 1956 26/10/1960 1960 2 1 4 3 3 2 0 5 -5 0
92 SAL 27/10/1960 1960 15/3/1964 1964 2 1 4 3 3 3 1 4 -3 0
92 SAL 16/3/1964 1964 20/2/1972 1972 2 1 4 4 3 4 3 3 0 0
92 SAL 21/2/1972 1972 20/2/1977 1977 2 1 4 4 3 3 2 3 -1 0
92 SAL 21/2/1977 1977 15/10/1979 1979 2 1 4 3 4 2 0 6 -6 0
92 SAL 16/10/1979 1979 1/6/1984 1984 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
92 SAL 2/6/1984 1984 25/9/1991 1991 3 3 4 5 2 3 6 0 6 0
92 SAL 26/9/1991 1991 31/12/2007 2007 3 3 4 5 2 4 7 0 7 0
93 NIC 1/1/1840 1840 16/12/1909 1909 2 1 4 1 3 3 1 6 -5 1
93 NIC 17/12/1909 1909 2/12/1926 1926 2 1 4 3 3 3 1 4 -3 0
93 NIC 3/12/1926 1926 4/11/1928 1928 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
93 NIC 5/11/1928 1928 2/6/1936 1936 2 1 4 3 3 3 1 4 -3 0
93 NIC 3/6/1936 1936 19/7/1979 1979 2 1 4 1 4 2 0 8 -8 0
93 NIC 20/7/1979 1979 4/3/1981 1981 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
93 NIC 5/3/1981 1981 21/2/1984 1984 1 0 0 2 4 2 0 5 -5 0
93 NIC 22/2/1984 1984 26/2/1990 1990 2 0 0 3 3 3 1 2 -1 0
93 NIC 27/2/1990 1990 5/7/1995 1995 3 3 4 5 2 3 6 0 6 0
93 NIC 6/7/1995 1995 9/1/2007 2007 3 3 4 7 2 3 8 0 8 0
93 NIC 10/1/2007 2007 31/12/2007 2007 3 3 4 7 2 4 9 0 9 0
94 COS 1/1/1840 1840 30/6/1841 1841 2 1 4 3 1 0 0 3 -3 1
94 COS 1/7/1841 1841 30/6/1853 1853 2 2 4 3 1 0 2 1 1 0
94 COS 1/7/1853 1853 30/6/1867 1867 2 2 4 4 1 0 3 0 3 0
94 COS 1/7/1867 1867 30/6/1875 1875 2 2 4 6 2 0 5 0 5 0
94 COS 1/7/1875 1875 31/12/1875 1875 2 2 4 7 2 0 6 0 6 0
94 COS 1/1/1876 1876 30/6/1883 1883 3 2 4 7 2 0 6 0 6 0
94 COS 1/7/1883 1883 30/6/1890 1890 3 3 4 7 2 0 7 0 7 0
94 COS 1/7/1890 1890 6/4/1919 1919 3 3 4 7 5 5 10 0 10 0
94 COS 7/4/1919 1919 9/12/1919 1919 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
94 COS 10/12/1919 1919 31/12/2007 2007 3 3 4 7 5 5 10 0 10 0
95 PAN 3/11/1903 1903 20/11/1949 1949 2 1 4 3 1 0 0 3 -3 0
95 PAN 21/11/1949 1949 2/1/1955 1955 2 1 4 4 2 0 1 2 -1 0
95 PAN 3/1/1955 1955 12/10/1968 1968 2 2 4 5 3 3 5 1 4 0
95 PAN 13/10/1968 1968 31/12/1968 1968 1 0 0 1 4 1 0 7 -7 0
95 PAN 1/1/1969 1969 5/10/1978 1978 2 0 0 1 4 1 0 7 -7 0
95 PAN 6/10/1978 1978 3/3/1982 1982 2 1 4 2 3 2 0 6 -6 0
95 PAN 4/3/1982 1982 6/5/1984 1984 2 1 4 3 3 2 0 5 -5 0
95 PAN 7/5/1984 1984 11/6/1987 1987 2 1 4 2 3 2 0 6 -6 0
95 PAN 12/6/1987 1987 20/12/1989 1989 2 1 4 2 4 1 0 8 -8 0
95 PAN 21/12/1989 1989 31/8/1994 1994 3 3 4 6 2 4 8 0 8 0
95 PAN 1/9/1994 1994 31/12/2007 2007 3 3 4 6 5 5 9 0 9 0
99 GCL 30/08/1821 1821 30/6/1828 1828 1 0 0 3 3 3 1 2 -1 4
99 GCL 1/7/1828 1828 22/09/1830 1830 2 1 4 1 3 3 1 6 -5 2
100 COL 23/9/1830 1830 30/6/1860 1860 3 3 4 3 3 3 4 2 2 4
100 COL 1/7/1860 1860 18/7/1861 1861 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
100 COL 19/7/1861 1861 23/5/1867 1867 2 1 4 1 3 3 1 6 -5 0
100 COL 24/5/1867 1867 4/8/1886 1886 3 3 4 7 2 3 8 0 8 0
100 COL 5/8/1886 1886 31/7/1900 1900 2 1 4 3 3 3 1 4 -3 0
100 COL 1/8/1900 1900 30/6/1904 1904 2 1 4 5 3 3 3 3 0 0
100 COL 1/7/1904 1904 30/6/1930 1930 2 1 4 1 3 3 1 6 -5 0
100 COL 1/7/1930 1930 8/4/1948 1948 3 3 4 3 5 5 6 1 5 0
100 COL 9/4/1948 1948 20/7/1957 1957 2 1 4 1 3 3 1 6 -5 0
100 COL 21/7/1957 1957 7/8/1974 1974 2 2 4 6 2 4 7 0 7 0
100 COL 8/8/1974 1974 5/7/1991 1991 3 3 4 6 2 4 8 0 8 0
100 COL 6/7/1991 1991 4/11/1995 1995 3 3 4 7 2 4 9 0 9 0
100 COL 5/11/1995 1995 31/12/2007 2007 3 3 4 6 2 3 7 0 7 0
101 VEN 1/1/1829 1829 27/4/1881 1881 2 1 4 1 3 3 1 6 -5 4
101 VEN 28/4/1881 1881 17/6/1892 1892 2 1 4 2 3 3 1 5 -4 0
101 VEN 18/6/1892 1892 19/12/1909 1909 2 1 4 3 3 3 1 4 -3 0
101 VEN 20/12/1909 1909 30/6/1920 1920 2 1 4 2 3 2 0 6 -6 0
101 VEN 1/7/1920 1920 18/12/1935 1935 2 1 4 1 4 1 0 9 -9 0
101 VEN 19/12/1935 1935 17/7/1936 1936 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
101 VEN 18/7/1936 1936 4/2/1937 1937 2 1 4 3 4 2 0 6 -6 0
101 VEN 5/2/1937 1937 30/6/1941 1941 2 1 4 3 3 2 0 5 -5 0
101 VEN 1/7/1941 1941 7/12/1958 1958 2 1 4 3 3 3 1 4 -3 0
101 VEN 8/12/1958 1958 1/12/1968 1968 3 3 4 5 3 4 7 1 6 0
101 VEN 2/12/1968 1968 26/3/1969 1969 3 3 4 6 3 4 8 1 7 0
101 VEN 27/3/1969 1969 3/2/1992 1992 3 3 4 6 5 5 9 0 9 0
101 VEN 4/2/1992 1992 15/12/1999 1999 3 3 4 6 2 4 8 0 8 0
101 VEN 16/12/1999 1999 12/11/2001 2001 3 3 4 5 2 4 7 0 7 0
101 VEN 13/11/2001 2001 17/12/2006 2006 3 3 4 5 2 3 6 0 6 0
101 VEN 18/12/2006 2006 31/12/2007 2007 3 3 4 4 2 3 5 0 5 0
110 GUY 26/5/1966 1966 16/12/1968 1968 2 1 4 7 3 3 5 3 2 0
110 GUY 17/12/1968 1968 10/4/1978 1978 2 1 4 6 3 3 4 3 1 0
110 GUY 11/4/1978 1978 6/10/1980 1980 2 1 4 5 3 3 3 3 0 0
110 GUY 7/10/1980 1980 5/10/1992 1992 2 1 4 1 3 2 0 7 -7 0
110 GUY 6/10/1992 1992 31/12/2007 2007 3 3 4 5 2 3 6 0 6 0
115 SUR 25/11/1975 1975 30/6/1980 1980 . . . . . . . . 7 7
115 SUR 1/7/1980 1980 30/6/1984 1984 . . . . . . . . -8 7
115 SUR 1/7/1984 1984 30/6/1986 1986 . . . . . . . . -6 7
115 SUR 1/7/1986 1986 30/6/1987 1987 . . . . . . . . 1 7
115 SUR 1/7/1987 1987 30/6/1988 1988 . . . . . . . . 5 7
115 SUR 1/7/1988 1988 30/6/1989 1989 . . . . . . . . 4 7
115 SUR 1/7/1989 1989 30/6/1991 1991 . . . . . . . . 1 7
115 SUR 1/7/1991 1991 30/6/1999 1999 . . . . . . . . 4 7
115 SUR 1/7/1999 1999 30/6/2004 2004 . . . . . . . . 10 7
115 SUR 1/7/2004 2004 31/12/2007 2007 . . . . . . . . 7 7
130 ECU 13/5/1830 1830 30/6/1901 1901 1 0 0 3 3 3 1 2 -1 0
130 ECU 1/7/1901 1901 20/8/1925 1925 2 1 4 3 3 3 1 4 -3 0
130 ECU 21/8/1925 1925 6/6/1948 1948 1 0 0 3 3 3 1 2 -1 0
130 ECU 7/6/1948 1948 8/11/1961 1961 3 3 4 3 3 3 4 2 2 0
130 ECU 9/11/1961 1961 2/6/1968 1968 1 0 0 3 3 3 1 2 -1 0
130 ECU 3/6/1968 1968 22/6/1970 1970 3 3 4 5 3 3 6 1 5 0
130 ECU 23/6/1970 1970 15/2/1972 1972 3 3 4 1 3 3 4 4 0 0
130 ECU 16/2/1972 1972 29/4/1979 1979 1 0 0 1 3 2 0 5 -5 0
130 ECU 30/4/1979 1979 6/5/1984 1984 3 3 4 7 2 4 9 0 9 0
130 ECU 7/5/1984 1984 31/1/1988 1988 3 3 4 6 2 4 8 0 8 0
130 ECU 1/2/1988 1988 15/2/1997 1997 3 3 4 7 2 4 9 0 9 0
130 ECU 16/2/1997 1997 10/8/1998 1998 2 2 4 7 2 4 8 0 8 0
130 ECU 11/8/1998 1998 20/1/2000 2000 3 3 4 7 2 4 9 0 9 0
130 ECU 21/1/2000 2000 25/11/2006 2006 2 2 4 6 2 3 6 0 6 0
130 ECU 26/11/2006 2006 28/11/2007 2007 3 3 4 6 2 3 7 0 7 0
130 ECU 29/11/2007 2007 31/12/2007 2007 3 3 4 4 2 3 5 0 5 0
135 PER 9/12/1824 1824 30/6/1828 1828 -88 -88 -88 -88 -88 -88 -88 -88 -88 1
135 PER 1/7/1828 1828 25/2/1835 1835 3 3 4 5 3 3 6 1 5 0
135 PER 26/2/1835 1835 9/2/1836 1836 1 0 0 1 3 3 1 4 -3 0
135 PER 10/2/1836 1836 28/10/1836 1836 1 0 0 3 3 3 1 2 -1 0
135 PER 29/10/1836 1836 15/8/1839 1839 1 0 0 1 3 3 1 4 -3 0
135 PER 16/8/1839 1839 23/12/1879 1879 1 0 0 3 3 3 1 2 -1 0
135 PER 24/12/1879 1879 17/1/1881 1881 1 0 0 1 3 3 1 4 -3 0
135 PER 18/1/1881 1881 20/10/1883 1883 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
135 PER 21/10/1883 1883 30/5/1886 1886 1 0 0 1 3 3 1 4 -3 0
135 PER 31/5/1886 1886 4/7/1919 1919 3 3 4 3 3 3 4 2 2 0
135 PER 5/7/1919 1919 18/1/1920 1920 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
135 PER 19/1/1920 1920 25/8/1930 1930 2 1 4 1 4 1 0 9 -9 0
135 PER 26/8/1930 1930 9/4/1933 1933 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
135 PER 10/4/1933 1933 28/10/1948 1948 3 3 4 3 3 3 4 2 2 0
135 PER 29/10/1948 1948 28/7/1950 1950 1 0 0 1 2 2 0 4 -4 0
135 PER 29/7/1950 1950 28/7/1956 1956 2 0 0 2 3 3 1 3 -2 0
135 PER 29/7/1956 1956 18/7/1962 1962 2 2 4 5 2 3 5 0 5 0
135 PER 19/7/1962 1962 28/7/1963 1963 2 1 4 3 4 2 0 6 -6 0
135 PER 29/7/1963 1963 3/10/1968 1968 3 3 4 5 3 3 6 1 5 0
135 PER 4/10/1968 1968 31/12/1976 1976 1 0 0 1 4 1 0 7 -7 0
135 PER 1/1/1977 1977 4/6/1978 1978 2 0 0 1 4 1 0 7 -7 0
135 PER 5/6/1978 1978 28/7/1980 1980 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
135 PER 29/7/1980 1980 28/7/1990 1990 3 3 4 6 2 3 7 0 7 0
135 PER 29/7/1990 1990 5/4/1992 1992 3 3 4 7 2 3 8 0 8 0
135 PER 6/4/1992 1992 29/12/1993 1993 2 2 4 2 4 2 2 5 -3 0
135 PER 30/12/1993 1993 21/11/2000 2000 2 2 4 3 3 3 3 2 1 0
135 PER 22/11/2000 2000 27/7/2001 2001 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
135 PER 28/7/2001 2001 31/12/2007 2007 3 3 4 7 2 4 9 0 9 0
140 BRA 7/9/1822 1822 15/11/1889 1889 3 1 1 1 3 3 1 7 -6 4
140 BRA 16/11/1889 1889 30/6/1894 1894 1 0 0 1 3 3 1 4 -3 0
140 BRA 1/7/1894 1894 30/10/1930 1930 2 1 4 3 3 3 1 4 -3 0
140 BRA 31/10/1930 1930 16/7/1934 1934 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
140 BRA 17/7/1934 1934 25/10/1945 1945 1 0 0 1 4 1 0 7 -7 0
140 BRA 26/10/1945 1945 18/9/1946 1946 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
140 BRA 19/9/1946 1946 1/5/1947 1947 3 3 4 7 1 0 7 0 7 0
140 BRA 2/5/1947 1947 30/6/1958 1958 3 3 4 5 3 3 6 1 5 0
140 BRA 1/7/1958 1958 2/9/1961 1961 3 3 4 5 2 3 6 0 6 0
140 BRA 3/9/1961 1961 22/1/1963 1963 3 3 4 4 2 3 5 0 5 0
140 BRA 23/1/1963 1963 9/4/1964 1964 3 3 4 3 2 3 4 1 3 0
140 BRA 10/4/1964 1964 27/10/1965 1965 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
140 BRA 28/10/1965 1965 15/1/1974 1974 2 1 4 1 4 1 0 9 -9 0
140 BRA 16/1/1974 1974 15/11/1982 1982 2 2 4 1 4 2 2 6 -4 0
140 BRA 16/11/1982 1982 15/1/1985 1985 2 2 4 2 4 2 2 5 -3 0
