dyad,statelno,statelab,statehno,statehab,conttype,begin,end,notes,version
200220,200,"UKG",220,"FRN",3,194408,200612,"Across English Channel;resumes after GMY occupation of northern France ends",3.1
200240,200,"UKG",240,"HAN",5,183801,186607,"Across North Sea; begins with HAN system entry; ends with GMY absorption of HAN",3.1
200255,200,"UKG",255,"GMY",5,186607,194505,"Across North Sea (through Hanover); begins with GMY absorption of HAN; ends with Allied occupation of GMY",3.1
200255,200,"UKG",255,"GMY",5,199010,200612,"Across North Sea (through Hanover); resumes with GMY reunification",3.1
200260,200,"UKG",260,"GFR",5,195505,199010,"Across North Sea (through Hanover); begins with GFR system entry after division of GMY",3.1
200380,200,"UKG",380,"SWD",5,181601,190506,"Across North Sea (through Norway); ends with NOR independence from SWE",3.1
200385,200,"UKG",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.1
200385,200,"UKG",385,"NOR",5,194505,200612,"Across North Sea; resumes after GMY occupation of NOR ends",3.1
200390,200,"UKG",390,"DEN",5,181601,194004,"Across North Sea; ends with GMY occupation of DEN",3.1
200390,200,"UKG",390,"DEN",5,194505,200612,"Across North Sea; resumes after GMY occupation of DEN ends",3.1
205220,205,"IRE",220,"FRN",5,192212,194006,"Across Celtic Sea; begins with IRE system entry; ends with GMY occupation of northern France",3.1
205220,205,"IRE",220,"FRN",5,194408,200612,"Across Celtic Sea; resumes after GMY occupation of northern France ends",3.1
210211,210,"NTH",211,"BEL",1,183012,194005,"Begins with BEL system entry; ends with GMY occupation of BEL",3.1
210211,210,"NTH",211,"BEL",1,194505,200612,"Resumes after GMY occupation of NTH/BEL ends",3.1
210220,210,"NTH",220,"FRN",1,181601,183012,"Direct land border ends with BEL independence from NTH",3.1
210220,210,"NTH",220,"FRN",5,183012,194007,"Across North Sea; begins when direct land border lost to BEL secession; ends with GMY occupation of NTH",3.1
210220,210,"NTH",220,"FRN",5,194506,200612,"Across North Sea; resumes after GMY occupation of NTH ends",3.1
210240,210,"NTH",240,"HAN",1,183801,186607,"Begins with HAN system entry; ends with GMY absorption of HAN",3.1
210255,210,"NTH",255,"GMY",1,181601,194007,"Ends with GMY occupation of NTH",3.1
210255,210,"NTH",255,"GMY",1,199010,200612,"Resumes with GMY reunification",3.1
210260,210,"NTH",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
210380,210,"NTH",380,"SWD",5,181601,190506,"Across North Sea (through Norway); ends with NOR independence from SWE",3.1
210385,210,"NTH",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.1
210385,210,"NTH",385,"NOR",5,194505,200612,"Across North Sea; resumes after GMY occupation of NOR ends",3.1
210390,210,"NTH",390,"DEN",4,181601,194004,"Across North Sea; ends with GMY occupation of DEN",3.1
210390,210,"NTH",390,"DEN",4,194505,200612,"Across North Sea; resumes after GMY occupation of DEN ends",3.1
211212,211,"BEL",212,"LUX",1,192011,194005,"Begins with LUX system entry; ends with GMY occupation of LUX",3.1
211212,211,"BEL",212,"LUX",1,194505,200612,"Resumes after GMY occupation of BEL ends",3.1
211220,211,"BEL",220,"FRN",1,183012,194005,"Begins with BEL system entry; ends with GMY occupation of BEL",3.1
211220,211,"BEL",220,"FRN",1,194506,200612,"Resumes after GMY occupation of BEL ends",3.1
211255,211,"BEL",255,"GMY",1,183012,194005,"Begins with BEL system entry; ends with GMY occupation of BEL",3.1
211255,211,"BEL",255,"GMY",1,199010,200612,"Resumes with GMY reunification",3.1
211260,211,"BEL",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
211390,211,"BEL",390,"DEN",5,183012,194004,"Across North Sea; begins with BEL system entry; ends with GMY occupation of DEN",3.1
211390,211,"BEL",390,"DEN",5,194505,200612,"Across North Sea; resumes after GMY occupation of BEL ends",3.1
212220,212,"LUX",220,"FRN",1,192011,194005,"Begins with LUX system entry; ends with GMY occupation of LUX",3.1
212220,212,"LUX",220,"FRN",1,194409,200612,"Resumes after GMY occupation of LUX ends",3.1
212255,212,"LUX",255,"GMY",1,192011,194005,"Begins with LUX system entry; ends with GMY occupation of LUX",3.1
212255,212,"LUX",255,"GMY",1,194409,194505,"Resumes after GMY occupation of LUX ends; ends with Allied occupation of GMY",3.1
212255,212,"LUX",255,"GMY",1,199010,200612,"Resumes with GMY reunification",3.1
212260,212,"LUX",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
220221,220,"FRN",221,"MNC",1,199305,200612,"Begins with MNC system entry",3.1
220225,220,"FRN",225,"SWZ",1,181601,194211,"Ends with GMY occupation of FRN",3.1
220225,220,"FRN",225,"SWZ",1,194408,200612,"Resumes after GMY occupation of FRN ends",3.1
220230,220,"FRN",230,"SPN",1,181601,194211,"Ends with GMY occupation of FRN",3.1
220230,220,"FRN",230,"SPN",1,194408,200612,"Resumes after GMY occupation of FRN ends",3.1
220232,220,"FRN",232,"AND",1,199307,200612,"Begins with AND system entry",3.1
220245,220,"FRN",245,"BAV",1,181601,187101,"Ends with GMY absorption of BAV",3.1
220255,220,"FRN",255,"GMY",1,181601,194006,"Ends with GMY occupation of northern France",3.1
220255,220,"FRN",255,"GMY",1,194408,194505,"Resumes after GMY occupation of FRN ends; ends with Allied occupation of GMY",3.1
220255,220,"FRN",255,"GMY",1,199010,200612,"Resumes with GMY reunification",3.1
220260,220,"FRN",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
220267,220,"FRN",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD",3.1
220325,220,"FRN",325,"ITA",1,181601,194211,"Ends with GMY occupation of FRN",3.1
220325,220,"FRN",325,"ITA",1,194408,200612,"Resumes after GMY occupation of FRN ends",3.1
220327,220,"FRN",327,"PAP",4,181601,186011,"Across Ligurian Sea; ends with ITA absorption of PAP",3.1
220332,220,"FRN",332,"MOD",4,184201,186003,"Across Ligurian Sea; ends with ITA absorption of MOD",3.1
220337,220,"FRN",337,"TUS",3,181601,186003,"Across Ligurian Sea; ends with ITA absorption of TUS",3.1
220390,220,"FRN",390,"DEN",5,181601,194004,"Across North Sea; ends with GMY occupation of DEN",3.1
220390,220,"FRN",390,"DEN",5,194505,200612,"Across North Sea; resumes after GMY occupation of DEN ends",3.1
220615,220,"FRN",615,"ALG",5,196207,200612,"Across Mediterranean Sea; begins with ALG system entry",3.1
220616,220,"FRN",616,"TUN",5,182501,188105,"Across Mediterranean Sea; begins with TUN system entry; ends with FRN occupation of TUN",3.1
220616,220,"FRN",616,"TUN",5,195603,200612,"Across Mediterranean Sea; resumes with TUN system reentry",3.1
221230,221,"MNC",230,"SPN",5,199305,200612,"Across Mediterranean Sea (closest=Menorca); begins with MNC system entry",3.1
221325,221,"MNC",325,"ITA",4,199305,200612,"Across Ligurian Sea; begins with MNC system entry",3.1
223225,223,"LIE",225,"SWZ",1,199009,200612,"Begins with LIE system entry",3.1
223305,223,"LIE",305,"AUS",1,199009,200612,"Begins with LIE system entry",3.1
225245,225,"SWZ",245,"BAV",2,181601,187101,"Across Lake Constance; ends with GMY absorption of BAV",3.1
225255,225,"SWZ",255,"GMY",1,187101,194505,"Through Baden; begins with GMY absorption of BAD; ends with Allied occupation of GMY",3.1
225255,225,"SWZ",255,"GMY",1,199010,200612,"Through Baden; resumes with GMY reunification",3.1
225260,225,"SWZ",260,"GFR",1,195505,199010,"Through Baden; begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
225267,225,"SWZ",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD",3.1
225271,225,"SWZ",271,"WRT",2,181601,187001,"Across Lake Constance; ends with GMY absorption of WRT",3.1
225300,225,"SWZ",300,"AUH",1,181601,191811,"Ends with dissolution of AUH",3.1
225305,225,"SWZ",305,"AUS",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.1
225305,225,"SWZ",305,"AUS",1,195507,200612,"Resumes when AUS rejoins system",3.1
225325,225,"SWZ",325,"ITA",1,181601,200612,"Both in system for entire COW era",3.1
230232,230,"SPN",232,"AND",1,199307,200612,"Begins with AND system entry",3.1
230235,230,"SPN",235,"POR",1,181601,200612,"Both in system for entire COW era",3.1
230325,230,"SPN",325,"ITA",5,181601,200612,"Across Mediterranean Sea (closest=Menorca-Sardinia); both in system for entire COW era",3.1
230337,230,"SPN",337,"TUS",5,181601,186003,"Across Mediterranean Sea; ends with ITA absorption of TUS",3.1
230435,230,"SPN",435,"MAA",5,197602,197908,"Across Atlantic Ocean (through Western Sahara-Canary Is.); begins with MAA entry into W.Sahara; ends with MAA withdrawal from W.Sahara",3.1
230600,230,"SPN",600,"MOR",3,184701,191105,"Across Strait of Gibraltar; begins with MOR system entry; ends when FRN begins protectorate over MOR",3.1
230600,230,"SPN",600,"MOR",1,195603,200612,"Resumes with MOR system reentry",3.1
230615,230,"SPN",615,"ALG",4,196207,200612,"Across Mediterranean Sea; begins with ALG system entry",3.1
230616,230,"SPN",616,"TUN",5,182501,188105,"Across Mediterranean Sea; begins with TUN system entry; ends with FRN occupation of TUN",3.1
230616,230,"SPN",616,"TUN",5,195603,200612,"Across Mediterranean Sea; resumes with TUN system reentry",3.1
235600,235,"POR",600,"MOR",4,184701,191105,"Across Atlantic Ocean; begins with MOR system entry; ends when FRN begins protectorate over MOR",3.1
235600,235,"POR",600,"MOR",4,195603,200612,"Across Atlantic Ocean; resumes with MOR system reentry",3.1
240255,240,"HAN",255,"GMY",1,183801,186607,"Begins with HAN system entry; ends with GMY absorption of HAN",3.1
240273,240,"HAN",273,"HSE",1,183801,186607,"Begins with HSE system entry; ends with GMY absorption of HSE",3.1
240280,240,"HAN",280,"MEC",1,183801,186607,"Begins with MEC system entry; ends with GMY absorption of MEC",3.1
240380,240,"HAN",380,"SWD",5,183801,186607,"Across North Sea (through Norway); begins with HAN system entry; ends with GMY absorption of HAN",3.1
240390,240,"HAN",390,"DEN",4,183801,186607,"Across North Sea; begins with HAN system entry; ends with GMY absorption of HAN",3.1
245255,245,"BAV",255,"GMY",1,181601,187101,"Ends with GMY absorption of BAV",3.1
245267,245,"BAV",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD/BAV",3.1
245269,245,"BAV",269,"SAX",1,181601,186704,"Ends with GMY absorption of SAX",3.1
245271,245,"BAV",271,"WRT",1,181601,187001,"Ends with GMY absorption of WRT",3.1
245273,245,"BAV",273,"HSE",1,181601,186607,"Ends with GMY absorption of HSE",3.1
245275,245,"BAV",275,"HSG",1,181601,186704,"Ends with GMY absorption of HSG",3.1
245300,245,"BAV",300,"AUH",1,181601,187101,"Ends with GMY absorption of BAV",3.1
255267,255,"GMY",267,"BAD",1,184912,187101,"Through Hohenzollern; begins with Prussian incorporation of Hohenzollern; ends with GMY absorption of BAD",3.1
255269,255,"GMY",269,"SAX",1,181601,186704,"Ends with GMY absorption of SAX",3.1
255271,255,"GMY",271,"WRT",1,184912,187001,"Through Hohenzollern; begins with Prussian incorporation of Hohenzollern; ends with GMY absorption of WRT",3.1
255273,255,"GMY",273,"HSE",1,181601,186607,"Ends with GMY absorption of HSE",3.1
255275,255,"GMY",275,"HSG",1,181601,186704,"Ends with GMY absorption of HSG",3.1
255280,255,"GMY",280,"MEC",1,184301,186704,"Begins with MEC system entry; ends with GMY absorption of HAN",3.1
255290,255,"GMY",290,"POL",1,191811,193909,"Begins with POL system entry; ends with GMY/USR occupation of POL",3.1
255290,255,"GMY",290,"POL",1,199010,200612,"Resumes after GMY reunification",3.1
255300,255,"GMY",300,"AUH",1,181601,191811,"Begins with POL system entry; ends with dissolution of Austria-Hungary",3.1
255305,255,"GMY",305,"AUS",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.1
255305,255,"GMY",305,"AUS",1,199010,200612,"Resumes after GMY reunification",3.1
255310,255,"GMY",310,"HUN",1,193803,194505,"Through Austria; begins after Anschluss; ends with Allied occupation of GMY",3.1
255315,255,"GMY",315,"CZE",1,191810,193903,"Begins with CZE system entry; ends with GMY occupation of CZE",3.1
255315,255,"GMY",315,"CZE",1,199010,199212,"Resumes after GMY reunification; ends with CZE dissolution",3.1
255316,255,"GMY",316,"CZR",1,199301,200612,"Begins with CZR system entry",3.1
255325,255,"GMY",325,"ITA",1,193803,194505,"Through Austria; begins after Anschluss; ends with Allied occupation of GMY",3.1
255345,255,"GMY",345,"YUG",1,193803,194104,"Through Austria and Slovenia; begins after Anschluss; ends with GMY occupation of YUG",3.1
255345,255,"GMY",345,"YUG",1,194410,194505,"Through Austria and Slovenia; begins after GMY occupation of YUG ends; ends with Allied occupation of GMY",3.1
255365,255,"GMY",365,"USR",1,181601,191811,"Through East Prussia and Poland/Lithuania; ends with independence of POL & LIT",3.1
255365,255,"GMY",365,"USR",1,193909,194106,"Through occupied Poland; begins with GMY/RUS occupation of POL; ends with removal of RUS occupiers",3.1
255365,255,"GMY",365,"USR",5,199010,200612,"Across Baltic Sea; through Kaliningrad; resumes after GMY reunification",3.1
255366,255,"GMY",366,"EST",5,191802,194006,"Across Baltic Sea; begins with EST system entry; ends with RUS annexation of EST",3.1
255366,255,"GMY",366,"EST",5,199109,200612,"Across Baltic Sea; resumes with EST independence from USR",3.1
255367,255,"GMY",367,"LAT",4,191811,194006,"Across Baltic Sea; through East Prussia; begins with LAT system entry; ends with RUS annexation of LAT",3.1
255367,255,"GMY",367,"LAT",5,199109,200612,"Across Baltic Sea; resumes with LAT independence from USR",3.1
255368,255,"GMY",368,"LIT",1,191802,194006,"Through East Prussia; begins with LIT system entry; ends with RUS annexation of LIT",3.1
255368,255,"GMY",368,"LIT",5,199109,200612,"Across Baltic Sea; resumes with LIT independence from USR",3.1
255375,255,"GMY",375,"FIN",5,191712,194505,"Across Baltic Sea; through East Prussia; begins with FIN system entry; ends with Allied occupation of GMY",3.1
255380,255,"GMY",380,"SWD",4,181601,194505,"Across Baltic Sea; ends with Allied occupation of GMY",3.1
255380,255,"GMY",380,"SWD",4,199010,200612,"Across Baltic Sea; resumes after GMY reunification",3.1
255385,255,"GMY",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.1
255385,255,"GMY",385,"NOR",5,199010,200612,"Across North Sea; resumes after GMY reunification",3.1
255390,255,"GMY",390,"DEN",4,181601,186508,"Across Brandenburger Bucht; through Holstein; ends with Prussian acquisition of direct land border after 2nd Schleswig-Holstein war",3.1
255390,255,"GMY",390,"DEN",1,186508,194004,"Begins with Prussian acquisition of Schleswig; ends with GMY occupation of DEN",3.1
255390,255,"GMY",390,"DEN",1,199010,200612,"Resumes after GMY reunification",3.1
260265,260,"GFR",265,"GDR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
260305,260,"GFR",305,"AUS",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
260315,260,"GFR",315,"CZE",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
260365,260,"GFR",365,"USR",5,195505,199010,"Across Baltic Sea; through Kaliningrad; begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
